px	py	pz	vx	vy	vz	m	r	g	b
0.0	0.0	0.0	0.0	0.0	0.0	10000000.0	255	255	0
5016.785869085472	3990.098773675047	-1519.8417113174855	25.800810532605478	-21.521878002516058	-10.568613490318619	2.0765176000812023e-06	199	179	255
5242.087179100652	-3750.793929466233	-1471.4666004847863	-26.371516537702593	-22.909255532852423	3.021343224388033	0.00026070877413285223	84	65	138
-1796.6005227783019	-3560.8937662790177	570.7109989564588	-40.14696681723728	38.32277142724131	13.948349204988165	0.0005182797206887111	109	114	117
3033.3849206201357	-4599.251952100057	-1121.6045065698872	-40.39608890622683	-11.020640304146788	5.9596208926511824	0.0007222160986736462	0	0	0
4126.9415047068005	-4311.4187967082435	-1526.7867820641313	-32.929338629938066	-18.366568599506024	4.461430117951147	0.00017415669239539635	199	179	255
-3322.404043259158	-1693.4428126654952	715.7975438446514	-20.23466808365074	56.05452192241953	6.484652272090258	0.0005468811737874329	0	0	0
-3615.930733294735	-542.8269151578514	790.3357593632119	-6.163569073217825	60.0372906353815	5.951785578889387	0.0007144596838857817	0	0	0
-3076.878669602088	1548.2082331714835	743.8213276539167	21.147946046193237	59.80295642293659	-3.3970296412879835	0.0004446276579139047	109	114	117
-1442.0483132093548	3877.3362434782925	775.1901565165517	42.806359927765335	33.101302091714416	-11.189661221788574	2.708113367005104e-05	109	114	117
-2917.3614879520333	1537.4722932631084	974.0864956887622	23.140269369319537	60.555270621755255	-1.1793775264612267	0.0004492681584656368	84	65	138
361.9215585853064	-4941.084478301648	-601.3166604246705	-45.13789954753372	10.015539430756164	10.4707505043573	0.00029644488774415313	109	114	117
-2624.9692138774444	-2443.2520826365744	542.2530571890288	-29.694899137261363	51.21803572424199	19.31463703638887	0.0009296496077013283	109	114	117
5020.34829270773	-3775.3982669705983	-1176.0268719775222	-28.63022161381581	-22.08648657490572	4.385599186623585	0.00012461338567832736	84	65	138
-3308.0336913739206	1202.2577695819327	750.7133530812699	16.31069858338258	60.32277043281219	1.3979926209831597	0.0006524759555072322	0	0	0
-2885.107684318525	-2235.556547590761	985.2750576307542	-25.82301216183257	53.64044387138991	9.260700647841047	5.271976633450117e-05	84	65	138
-2529.295241274698	-2880.443669360703	258.7802766072613	-34.23127605421473	46.68435722150591	13.452662261389065	0.0004461704378126965	84	65	138
-2893.647829016645	-2333.1566786005214	386.5423433253725	-29.58762032814142	51.94480240255892	11.207324810353407	0.0005539794872200806	84	65	138
-916.5043208136661	-4179.589250162709	-243.27836105723776	-44.77297786150963	24.26358838710659	19.210711036879314	0.00029795493131686544	199	179	255
679.8479128802459	4737.674429414825	257.90030456614534	45.731495399431104	10.54069276570332	-14.92539912396028	0.0004550756355203845	0	0	0
-3649.1462881678326	-198.1894738183988	666.7978374536499	-1.7700757757939027	60.87929269828409	2.4099472729936755	0.0001635537945301874	199	179	255
4750.616633539257	4267.895542030247	-784.2778171732436	29.536019002839993	-19.1999580175365	-7.9833678328397655	0.00030412384946803617	199	179	255
-2709.4773374306596	2385.098012696552	765.9398439300483	30.54511249716162	53.267214618768335	-3.6374162445329925	0.000621106324910203	109	114	117
-3414.106354764981	521.5398586691224	1123.9243164721458	7.845373556537749	61.582023110855616	-1.0382430752116394	0.00030180005586115513	84	65	138
-2285.3695824654	-3127.6340074871036	197.20206061650725	-34.94584806785254	43.77088452712662	18.950203926965838	0.0008997430784088716	84	65	138
6445.904606614122	-1909.8880119578803	-2115.4908434308045	-12.98208137190097	-28.876610094707875	4.229069958945618	0.0006284069576409898	199	179	255
-2917.4768633275485	-2014.6790814707153	681.6605365847572	-22.93049834163567	56.334266660811565	14.59000576875854	0.0004386490184359845	109	114	117
106.86051722661847	-4699.096615642762	-315.49903188461644	-47.32115522224922	13.582710462483572	10.203589284859698	3.8756935554182484e-05	109	114	117
-3471.6692769457154	41.41192984667123	830.6488315950573	2.8493398237316736	62.606168913711244	6.159637020686451	0.0004995483352046713	109	114	117
-2399.613633314849	-3024.6699123028297	401.6181019760868	-36.29505607094522	45.27869852224839	11.020175211216444	0.0007647762421250892	0	0	0
5843.57089707114	3117.3960291303756	-1661.6305918870225	19.295668628801096	-25.762806024402735	-9.515587203720115	0.00026555759801241366	199	179	255
-322.8705358101176	4610.057005999892	195.7901338690026	44.83992183265287	20.130558998123426	-13.405125968830886	0.0008067735696487674	0	0	0
-2394.241896962275	2884.580563770099	1051.7133862541891	34.612221499528225	47.11574704726701	-6.475509400554537	0.0002518067660508815	109	114	117
-3506.433545309803	860.4930062792555	974.6270867868977	12.637830241248825	59.232387359897636	2.1900605964905644	0.0008237463879508005	109	114	117
6671.531800909639	2199.3460892149787	-1172.9373745555863	14.04544184965775	-28.077072861194583	-3.085332811816672	8.52683416116774e-05	109	114	117
3376.984370186309	4943.048374166119	-640.17328023036	36.46937014306246	-10.1885816817445	-10.404809232248203	0.0008661837088690295	84	65	138
-916.3140582137352	4352.503409908771	419.94109949184656	44.44319155285212	25.902772818815976	-10.04936015437534	0.0004991864509333305	199	179	255
6765.3684807808695	-1455.3473439227548	-1346.0413481538492	-9.430467451243464	-30.448024176978443	0.5787158787966351	0.000296537589620262	84	65	138
-2117.4732927216282	3517.581890044644	840.7021075387859	36.81166730053084	39.78046844549855	-11.774530948696055	0.0002651132504151488	0	0	0
-3310.6288802340223	84.4015338723845	1137.783852217371	1.9023682470382326	63.40665803868769	6.389874795518323	0.0004320105589303627	84	65	138
1633.6401543363634	5027.913376367642	-396.6525053896744	42.5944258155778	1.8200394673891023	-14.55304873674606	0.000999049498103645	199	179	255
-2774.302792433338	-2408.009815909697	621.0832407313554	-27.34935193384543	51.68432950444712	16.82256655350119	0.00022032739343758257	84	65	138
-804.8804224663523	4520.820344613932	262.065974300781	45.26436084608333	21.704214115951352	-9.4370188073618	0.00010321664887899961	109	114	117
1693.459603733204	4833.630206598552	118.81414642310057	43.995019724551625	2.3946801021352786	-14.620228179097902	0.0005850351687186619	0	0	0
-3363.032118383361	-267.9975302558721	828.793686666245	-1.7921033306709564	63.99769737172668	6.174470648003638	18000.0	0	0	0
6561.770117910377	790.3519812375185	-1544.1527904631448	4.083766627204287	-33.063185727854226	-1.6631046608787357	0.0005241962710633073	109	114	117
6788.942169192959	692.354679703729	-1806.8152935351743	3.2885458669030165	-31.581683670942848	-2.6775557280061824	0.0006669354175572171	109	114	117
536.5996586047568	4996.829236070203	124.84514448983623	43.33760062036739	11.582816979061702	-14.827554223810195	0.00026714406987064933	109	114	117
6496.078619426754	1409.9644603091922	-1676.954848043986	9.448537969331447	-31.296318699061906	-3.9054881147278486	0.0009106649953838884	199	179	255
4745.819366615522	4084.3154219066796	-666.2145966932356	29.739542497173424	-20.88826491101685	-6.487554159454876	0.00043567206612229044	84	65	138
-1924.4922155582753	3376.5688863684786	655.5789302378903	41.42960880209121	40.85307298579929	-4.1258443938689	0.0001290861951424618	0	0	0
1361.0201310042085	-4955.323499501303	-1095.1048646083	-43.985455054914475	1.8342253068018828	10.083280917053548	0.0007422987567339443	84	65	138
-3062.5508417701417	-1495.467156555586	981.9840558888451	-17.096336471883557	59.98108970937462	11.333131233499577	0.0006431043526178503	109	114	117
-3259.349447249616	-235.9755965612525	1014.2930335819102	-0.7933914810000923	64.58688828368248	7.8652908416366545	0.0003157434024840371	109	114	117
-1197.042448664483	3965.4350078250936	800.4150146622417	44.18701032511561	32.63700803091152	-6.670394084296848	0.0006215187240340485	84	65	138
5619.9899057532375	-2996.4868325613306	-1885.7130205266508	-20.866746131467977	-27.33261614221289	2.7317273797940467	0.00021986195636897687	0	0	0
-2802.9709383535364	2312.479783421496	1004.4270597850962	30.572299011903237	52.237012511003186	0.4179445605219468	0.00044483935934052954	199	179	255
5271.209460809351	3587.674927272592	-1476.937272516571	24.469444785065715	-24.378538146432344	-7.148099811214674	0.0008994125221673253	84	65	138
-2760.226972491647	-2351.4839575494466	739.0435168802092	-28.58556995866078	53.54417500094552	7.879232339103662	0.00013353423316074943	109	114	117
